"","name","pvalue","estimate","expression","BH"
"15468","GO_SIGNAL_RECOGNITION_PARTICLE_RECEPTOR_COMPLEX",1,0,"Down",1
"15469","GO_SIGNAL_RECOGNITION_PARTICLE_ENDOPLASMIC_RETICULUM_TARGETING",1,0,"UP",1
"15470","GO_SIGNAL_RECOGNITION_PARTICLE_ENDOPLASMIC_RETICULUM_TARGETING",1,0,"Down",1
"15471","GO_SIGNAL_PEPTIDASE_COMPLEX",1,0,"UP",1
"15472","GO_SIGNAL_PEPTIDASE_COMPLEX",1,0,"Down",1
"15473","GO_ENDOPLASMIC_RETICULUM_LUMEN",1.05474857162308e-23,6.10093025464342,"UP",6.98924037363913e-21
"15474","GO_ENDOPLASMIC_RETICULUM_LUMEN",0.409727268122657,0.731267207103712,"Down",0.970550915795159
"15475","GO_SMOOTH_ENDOPLASMIC_RETICULUM",1,0.796329326050299,"UP",1
"15476","GO_SMOOTH_ENDOPLASMIC_RETICULUM",0.353585399137956,1.70817863095808,"Down",0.926567969861645
"15477","GO_ROUGH_ENDOPLASMIC_RETICULUM",0.77139956643255,0.582041072188883,"UP",1
"15478","GO_ROUGH_ENDOPLASMIC_RETICULUM",0.77139956643255,0.582041072188883,"Down",1
"15479","GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT",0.840135941148787,1.04578108392892,"UP",1
"15480","GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT",0.41606881039378,0.57414822407945,"Down",0.977529052767026
"15481","GO_GOLGI_APPARATUS",3.17552434888427e-10,1.97961003166927,"UP",3.21338035343747e-08
"15482","GO_GOLGI_APPARATUS",7.7474488657211e-05,1.56736984450337,"Down",0.00222896491035914
"15483","GO_GOLGI_STACK",0.532089177356296,1.27663863494595,"UP",1
"15484","GO_GOLGI_STACK",4.97607450764415e-05,3.35047460710391,"Down",0.00153251158224927
